pmid,title,abstract,publication_date,publication_year,journal,volume,issue,pages,language,relevant,dois,publication_types,mesh_terms,keywords
8816860,Stereotactic radiosurgery for primary and metastatic brain tumors.,,1996,1996,Cancer investigation,14,5,445-54,eng,False,10.3109/07357909609018902,Journal Article;Review,Brain Neoplasms/secondary/*surgery;Humans;Intracranial Arteriovenous Malformations/surgery;*Radiosurgery,
36825893,Letter: Risk for Hemorrhage the First 2 Years After Gamma Knife Surgery for Arteriovenous Malformations: An Update.,,2023 May 1,2023,Neurosurgery,92,5,e115,eng,False,10.1227/neu.0000000000002442;00006123-202305000-00031;10.1227/neu.0000000000002442,Comment;Journal Article,Humans;*Arteriovenous Malformations/surgery;Treatment Outcome;Hemorrhage/surgery;*Radiosurgery/adverse effects;*Intracranial Arteriovenous Malformations/surgery;Retrospective Studies;Follow-Up Studies,
24319021,Seizure control for intracranial arteriovenous malformations is directly related to treatment modality: a meta-analysis.,"OBJECT: Seizures are a common presenting sign of intracranial arteriovenous malformations (AVMs). The object of this meta-analysis was to determine if the modality selected to treat AVMs affects the rate of seizure outcomes. METHODS: All published data describing seizure status as an outcome goal over the past 20 years were included in this study. Seizure outcomes following microsurgery (MS), endovascular embolization for cure (EVE), or stereotactic radiosurgery (SRS) were compared using a validated random effect logistic regression approach. RESULTS: 24 studies, with a total of 1157 patients, were analyzed. Overall, the microsurgical group had the best seizure control (p<0.01), with the relative predicted rates of seizure outcome as follows: MS 78.3% (95% CI 70.1% to 85.8%); SRS 62.8% (95% CI 55.0% to 70.0%); and EVE 49.3% (95% CI 32.1% to 66.6%). Patients in the SRS group who had complete obliteration of their AVMs achieved the highest rate of seizure control (85.2% (95% CI 79.1% to 91.2%); p<0.01). The development of new onset seizures occurred more frequently in patients undergoing EVE (39.4% (95% CI 8.1% to 67.8%)) compared with MS (9.1% (95% CI 5.0% to 13.1%)) and SRS (5.4% (95% CI 3.0% to 7.8%)) (p<0.3 and p<0.01, respectively). CONCLUSIONS: This is the first meta-analysis designed to study relative rates of seizure outcomes following the currently utilized AVM treatment modalities. In general, MS results in the highest proportion of seizure control. However, if SRS results in successful obliteration of the AVM, then this modality is the most effective in achieving seizure control.",2014 Nov,2014,Journal of neurointerventional surgery,6,9,684-90,eng,False,10.1136/neurintsurg-2013-010945;neurintsurg-2013-010945;10.1136/neurintsurg-2013-010945,Journal Article;Meta-Analysis;Review,"Anticonvulsants/therapeutic use;Embolization, Therapeutic;Humans;Intracranial Arteriovenous Malformations/*complications/*surgery;Microsurgery/methods;Neurosurgical Procedures/*methods;Radiosurgery;Seizures/*etiology/*surgery;Treatment Outcome",Arteriovenous Malformation
27058199,Comparative analysis of arteriovenous malformation grading scales in predicting outcomes after stereotactic radiosurgery.,"OBJECTIVE Successful stereotactic radiosurgery (SRS) for the treatment of arteriovenous malformations (AVMs) results in nidus obliteration without new neurological deficits related to either intracranial hemorrhage (ICH) or radiation-induced complications (RICs). In this study the authors compared 5 AVM grading scales (Spetzler-Martin grading scale, radiosurgery-based AVM score [RBAS], Heidelberg score, Virginia Radiosurgery AVM Scale [VRAS], and proton radiosurgery AVM scale [PRAS]) at predicting outcomes after SRS. METHODS The study group consisted of 381 patients with sporadic AVMs who underwent Gamma Knife SRS between January 1990 and December 2009; none of the patients underwent prior radiation therapy. The primary end point was AVM obliteration without a decline in modified Rankin Scale (mRS) score (excellent outcome). Comparison of the area under the receiver operating characteristic curve (AUC) and accuracy was performed between the AVM grading scales and the best linear regression model (generalized linear model, elastic net [GLMnet]). RESULTS The median radiological follow-up after initial SRS was 77 months; the median clinical follow-up was 93 months. AVM obliteration was documented in 297 patients (78.0%). Obliteration was 59% at 4 years and 85% at 8 years. Fifty-five patients (14.4%) had a decline in mRS score secondary to RICs (n = 29, 7.6%) or ICH (n = 26, 6.8%). The mRS score declined by 10% at 4 years and 15% at 8 years. Overall, 274 patients (71.9%) had excellent outcomes. There was no difference between the AUC for the GLMnet (0.69 [95% CI 0.64-0.75]), RBAS (0.68 [95% CI 0.62-0.74]), or PRAS (0.69 [95% CI 0.62-0.74]). Pairwise comparison for accuracy showed no difference between the GLMnet and the RBAS (p = 0.08) or PRAS (p = 0.16), but it did show a significant difference between the GLMnet and the Spetzler-Martin grading system (p < 0.001), Heidelberg score (p < 0.001), and the VRAS (p < 0.001). The RBAS and the PRAS were more accurate when compared with the Spetzler-Martin grading scale (p = 0.03 and p = 0.01), Heidelberg score (p = 0.02 and p = 0.02), and VRAS (p = 0.03 and p = 0.02). CONCLUSIONS SRS provides AVM obliteration without functional decline in the majority of treated patients. AVM grading scales having continuous scores (RBAS and PRAS) outperformed integer-based grading systems in the prediction of AVM obliteration without mRS score decline after SRS.",2017 Mar,2017,Journal of neurosurgery,126,3,852-858,eng,True,10.3171/2015.11.JNS151300;10.3171/2015.11.JNS151300,Comparative Study;Journal Article,"Adolescent;Adult;Aged;Aged, 80 and over;Child;Child, Preschool;Female;Follow-Up Studies;Humans;Intracranial Arteriovenous Malformations/*diagnosis/*radiotherapy;Male;Middle Aged;Prognosis;*Radiosurgery;Retrospective Studies;Severity of Illness Index;Young Adult","AUC = area under the receiver operating characteristic curve;AVM arteriovenous malformation;GLMnet = generalized linear model, elastic net;ICH = intracranial hemorrhage;KPS = Karnofsky Performance Status;RBAS = radiosurgery-based AVM score;RIC = radiation-induced complication;SRS = stereotactic radiosurgery;VRAS = Virginia Radiosurgery AVM Scale;arteriovenous malformation;complication;grading scale;mRS = modified Rankin Scale;stereotactic radiosurgery;vascular disorders"
18686058,Cerebral cyst formation in pregnancy following gamma knife surgery of an underlying arteriovenous malformation.,"Cyst formation following gamma knife surgery for arteriovenous malformation (AVM) is a rare, but well-documented complication. We present a case of a 26-year old lady who underwent gamma knife surgery for an underlying AVM. Subsequently, 11 months later she developed a symptomatic cerebral cyst, whilst pregnant, presenting a challenging management dilemma.",2008 Dec,2008,British journal of neurosurgery,22,6,808-9,eng,False,10.1080/02688690802199912;901418609;10.1080/02688690802199912,Case Reports;Journal Article,Adult;Cysts/*etiology/surgery;Female;Hemianopsia/diagnosis;Humans;Intracranial Arteriovenous Malformations/*surgery;Pregnancy;Pregnancy Complications/*etiology;Pregnancy Outcome;Radiosurgery/*adverse effects;Treatment Outcome,
15537200,Novalis Shaped Beam Radiosurgery of arteriovenous malformations.,"OBJECT: The authors studied outcomes and complications in patients who harbored arteriovenous malformations (AVMs) and underwent stereotactic radiosurgery involving the Novalis shaped beam unit. METHODS: Between January 1998 and January 2002, 83 patients were treated with radiosurgery at University of California, Los Angeles. The mean patient age was 37.8 years. Forty-four patients completed follow up. There were 24 women. Sixteen patients underwent repeated radiosurgery. Embolization was performed in 13 patients and radiosurgery alone in 31. The mean follow-up period after embolization was 54.4+/-21.9 months and 37.4+/-14.6 months for radiosurgery alone. The mean peripheral dose was 15 Gy (range 12-18 Gy). The mean preradiosurgery lesion volume was 9.7+/-11.9 ml for radiosurgery alone and 16.2+/-11.3 ml for embolization. The AVMs in 13 patients (29.8%) were Spetzler-Martin Grade II, 12 (27.5%) were Grade III, eight (18.2%) Grade IV, and five (11.3%) were Grade V and VI each. Spetzler-Martin grade, volume, and peripheral dose were analyzed in consideration to outcome. A positive trend (p = 0.086) was observed between Spetzler-Martin grade and obliteration rate. Volume per se did not predict obliteration (p = 0.48). A peripheral dose of 18 Gy was shown to be the most important predictor for occlusion (p = 0.007). The overall obliteration rate was 52.5%. A transient complication was noticed in one case (2.3%) and but no permanent deficits due to radiosurgery have been detected so far. Three patients (6.8%) bled after radiosurgery. CONCLUSIONS: The range of the prescribed peripheral dose was narrow. An association between the mean peripheral dose of 15 Gy, high conformality, and homogeneous dose distribution permitted no permanent complications. Volume per se did not correlate with outcome. The next step will be to increase the peripheral dose shaping the beam and to achieve higher obliteration rates without increasing complications.",2004 Nov,2004,Journal of neurosurgery,101 Suppl 3,,425-34,eng,True,,Evaluation Study;Journal Article,"Adolescent;Adult;Aged;Aged, 80 and over;Child;Dose Fractionation, Radiation;Embolization, Therapeutic;Female;Humans;Intracranial Arteriovenous Malformations/diagnosis/*surgery/therapy;Magnetic Resonance Imaging;Male;Middle Aged;Postoperative Period;*Radiosurgery/adverse effects;Radiotherapy Dosage;*Radiotherapy, Conformal/adverse effects;Reoperation;Retrospective Studies;Treatment Outcome",
22340506,Quality of life after radiosurgery for cerebral arteriovenous malformation patients who present with seizure.,"BACKGROUND AND PURPOSE: This study assessed the quality of life (QOL) and employment status after radiosurgery for arteriovenous malformation (AVM) patients who presented with seizure. METHODS: Between 1997 and 2006, 78 AVM patients who presented with seizure and received radiosurgery were assessed using serial imaging tests, clinical evaluations that included employment status, and a QOL survey. The QOL questionnaire was developed as a retrospective screening tool to estimate the present QOL and the patient's self-rated relative changes (trend values) in QOL after radiosurgery. These results were correlated to one another using the Engel seizure frequency scoring system. RESULTS: The follow-up periods ranged from 48.0 to 151.0 months (mean, 92.5). The mean trend values and mean QOL scores in patients with seizure freedom or AVM obliteration were significantly greater than in patients without these outcomes (all P values < 0.05). Good radiosurgical outcomes were associated with attaining employment (all P values < 0.05). However, differences in employment status were not significant (P = 0.186) despite a higher proportion of patients who described their workplace activity as improved compared with their pre-radiosurgical activity at the last follow-up evaluation. CONCLUSIONS: Radiosurgery may improve QOL and employment status in AVM patients, especially patients who experience seizure freedom or AVM obliteration.",2012 Jul,2012,European journal of neurology,19,7,984-91,eng,False,10.1111/j.1468-1331.2012.03664.x;10.1111/j.1468-1331.2012.03664.x,"Journal Article;Research Support, Non-U.S. Gov't","Adult;Diagnosis, Differential;Female;Follow-Up Studies;Humans;Intracranial Arteriovenous Malformations/diagnosis/epidemiology/*surgery;Male;Middle Aged;*Quality of Life/psychology;*Radiosurgery/psychology;Seizures/diagnosis/epidemiology/*surgery;Surveys and Questionnaires;Treatment Outcome;Young Adult",
25623104,[Combined surgical and endovascular treatments of complex cerebral arteriovenous malformation in hybrid operating room].,"OBJECTIVE: To summarize the clinical experiences of microsurgical and endovascular treatments of complicated arteriovenous malformation (AVM) in the conditions of hybrid operating room. METHODS: The clinical data were collected and analyzed for 8 patients of complex AVM between June 2012 to June 2013. There were Spetzler grade III (n = 2) and grade IV (n = 6). And the lesions were complicated with intracranial aneurysms (n = 3) and located in motor area (n = 2) and basal ganglia (n = 2). Five cases of AVM with cerebral hemorrhage underwent emergency surgery, including digital subtraction angiography (DSA) plus intraoperative embolization plus surgical resection of AVM plus intraoperative DSA (iDSA). Two cases underwent embolization plus aneurysm surgery while another had AVM embolization plus AVM resection and γ knife treatment. RESULTS: All surgical procedures, including iDSA, were completed in the same hybrid operating room. There was no change of surgical position or intraoperative mortality. Five patients of AVM hemorrhage undergoing emergency hematoma evacuation had no residue of AVM on iDSA. Their postoperative consciousness improved without neurological dysfunction. Two patients of limb paralysis recovered to paresis at 3 months postoperation. One case with blurry vision improved somewhat. Two cases undergoing elective surgery had a complete resection of AVM after embolization. CONCLUSION: Surgery plus endovascular treatment in hybrid operating room is efficacious for complex cerebral AVM. It avoids multiple surgeries and inspections. And any lesion residue may be assessed immediately with postoperative DSA.",2014 Dec 23,2014,Zhonghua yi xue za zhi,94,47,3763-6,chi,False,,Journal Article,"Angiography, Digital Subtraction;Cerebral Hemorrhage;Embolization, Therapeutic;Humans;Intracranial Aneurysm;Intracranial Arteriovenous Malformations;*Operating Rooms;Radiosurgery;Treatment Outcome;Veins",
25658780,Stereotactic radiosurgery for arteriovenous malformations after Onyx embolization: a case-control study.,"OBJECT: Onyx, an ethylene-vinyl alcohol copolymer mixed in a dimethyl sulfoxide solvent, is currently one of the most widely used liquid materials for embolization of intracranial arteriovenous malformations (AVMs). The goal of this study was to define the risks and benefits of stereotactic radiosurgery (SRS) for patients who have previously undergone partial AVM embolization with Onyx. METHODS: Among a consecutive series of 199 patients who underwent SRS between January 2007 and December 2012 at the University of Virginia, 25 patients had Onyx embolization prior to SRS (the embolization group). To analyze the obliteration rates and complications, 50 patients who underwent SRS without prior embolization (the no-embolization group) were matched by propensity score method. The matched variables included age, sex, nidus volume before SRS, margin dose, Spetzler-Martin grade, Virginia Radiosurgery AVM Scale score, and median imaging follow-up period. RESULTS: After Onyx embolization, 18 AVMs were reduced in size. Total obliteration was achieved in 6 cases (24%) at a median of 27.5 months after SRS. In the no-embolization group, total obliteration was achieved in 20 patients (40%) at a median of 22.4 months after SRS. Kaplan-Meier analysis demonstrated obliteration rates of 17.7% and 34.1% in the embolization group at 2 and 4 years, respectively. In the no-embolization group, the corresponding obliteration rates were 27.0% and 55.9%. The between-groups difference in obliteration rates after SRS did not achieve statistical significance. The difference in complications, including adverse radiation effects, hemorrhage episodes, seizure control, and patient mortality also did not reach statistical significance. CONCLUSIONS: Onyx embolization can effectively reduce the size of many AVMs. This case-control study did not show any statistically significant difference in the rates of embolization or complications after SRS in patients who had previously undergone Onyx embolization and those who had not.",2015 Jul,2015,Journal of neurosurgery,123,1,126-35,eng,True,10.3171/2014.12.JNS141437;10.3171/2014.12.JNS141437,Journal Article,"Adolescent;Adult;Aged;Aged, 80 and over;Case-Control Studies;Child;Combined Modality Therapy;Dimethyl Sulfoxide/*therapeutic use;Drug Combinations;Embolization, Therapeutic/*methods;Female;Humans;Intracranial Arteriovenous Malformations/pathology/*therapy;Kaplan-Meier Estimate;Logistic Models;Magnetic Resonance Imaging;Male;Middle Aged;Polyvinyls/*therapeutic use;Radiosurgery/*methods;Tantalum/*therapeutic use;Treatment Outcome;Young Adult",ARE = adverse radiation effect;AVM = arteriovenous malformation;DSA = digital subtraction angiography;EVOH = ethylene-vinyl alcohol;GKS = Gamma Knife surgery;Gamma Knife;LINAC = linear accelerator;MRA = MR angiography;Onyx;PVA = polyvinyl alcohol;RBAS = radiosurgery-based AVM score;SRS = stereotactic radiosurgery;arteriovenous malformation;embolization;nBCA = n-butyl-2-cyanacrylate;obliteration;stereotactic radiosurgery;vascular disorders
28614989,A challenging entity of endovascular embolization with ONYX for brainstem arteriovenous malformation: Experience from 13 cases.,"Objective Brainstem arteriovenous malformations (AVMs) are rare lesions with a high risk of intracranial hemorrhage and are challenging to treat. We present our experience of endovascular embolization with Onyx in these aggressive lesions. Materials and methods Between 2007 and 2016, 13 patients with brainstem AVMs were embolized with Onyx at our center. Twelve patients presented with intracranial hemorrhage and one with headache. Retrospective examinations of patient demographics, clinical presentation, angiographic features, treatment modalities, postoperative complications and outcomes were carried out. Results The AVMs were in the midbrain in 10 patients (one anterior and nine posterior or dorsal), in the posterior pons in two and pontomedullary in one. Complete occlusion was achieved in three patients. Gamma knife radiosurgery was performed in six patients who were near-completely or partially embolized. Postoperative complications, including five cases of ischemia and one case of hemorrhage, resulted in four cases of neurological deterioration and two deaths. Clinical follow-up was obtained in 10 patients at a mean period of 45.2 months (range 3 to 93 months). During the follow-up, good clinical outcomes were observed in seven patients with posterior or dorsal midbrain AVMs, and one patient with a posterior pons AVM that was partially occluded died of intracranial hemorrhage. Conclusion Endovascular embolization for brainstem AVM with Onyx is a technical challenge and the reflux of Onyx may cause severe complications. Individualized treatment is needed based on the specific subtype of brainstem AVM.",2017 Oct,2017,"Interventional neuroradiology : journal of peritherapeutic neuroradiology,",23,5,497-503,eng,False,10.1177/1591019917711679;10.1177_1591019917711679;10.1177/1591019917711679,Journal Article,"Adolescent;Adult;Angiography, Digital Subtraction;*Brain Stem;Cerebral Angiography;Child;Combined Modality Therapy;Dimethyl Sulfoxide/*therapeutic use;Embolization, Therapeutic/*methods;Female;Humans;Intracranial Arteriovenous Malformations/diagnostic imaging/radiotherapy/*therapy;Magnetic Resonance Angiography;Male;Middle Aged;Polyvinyls/*therapeutic use;Radiosurgery/instrumentation;Treatment Outcome",Endovascular treatment;Onyx;brainstem arteriovenous malformations;clinical outcomes
10764252,Angiographic long-term follow-up data for arteriovenous malformations previously proven to be obliterated after gamma knife radiosurgery.,"OBJECTIVE: To investigate whether angiograms obtained 2 years after radiosurgery, proving total arteriovenous malformation (AVM) occlusion, represent the final state of treated AVMs and adjacent normal vessels. METHODS: Angiograms were obtained for 48 patients 5 to 24 years after gamma knife radiosurgery and 4 to 17 years after the AVMs had been proven to be totally occluded after the treatment; changes in normal vessels and signs of recanalization were recorded. Ten of the patients developed clinical symptoms attributable to the AVMs or the treatment after having been declared cured, whereas the other patients did not exhibit symptoms. RESULTS: There was evidence of AVM nidi at the sites of previously occluded AVMs for two patients and of nidi adjacent to those sites for another two patients. Three of the four recurrent AVMs were associated with hemorrhaging. All patients who experienced hemorrhaging from previously occluded AVMs were < or = 14 years of age at the time of gamma knife radiosurgery. There were signs of segmental narrowing in normal vessels that had been irradiated with high doses (nine patients) or a low dose (one patient). The segmental narrowing decreased with time for four of these patients, was unchanged for four, and increased for two. These vascular changes did not produce clinical symptoms in any of the patients. CONCLUSION: There is a small possibility that AVMs may reappear after having been totally occluded after radiosurgery, especially in pediatric patients. Segmental narrowing in normal arteries after radiosurgery is a benign condition that rarely progresses and does not produce clinical symptoms.",2000 Apr,2000,Neurosurgery,46,4,803-8; discussion 809-10,eng,False,10.1097/00006123-200004000-00006,Journal Article,"Adolescent;Adult;*Cerebral Angiography;Cerebral Hemorrhage/etiology;Child;Dose-Response Relationship, Radiation;Female;Follow-Up Studies;Humans;Intracranial Arteriovenous Malformations/complications/*diagnostic;Longitudinal Studies;Male;Middle Aged;*Radiosurgery/*methods;Recurrence;Reoperation;Tomography, X-Ray Computed",
39023594,Comparison of imaging modalities for the accurate delineation of arteriovenous malformations (AVM) and evaluation of setup accuracy with reference to non-invasive LINAC-based stereotactic radiosurgery (SRS).,"AIMS: To compare the accuracy of nidus delineation using magnetic resonance angiography (MRA) to digital subtraction angiography (DSA) and to evaluate setup accuracy of non-invasive frame SRS treatments. SETTINGS AND DESIGN: A prospective observational study of 16 patients who underwent non-invasive frame LINAC-based SRS for brain AVMs. MATERIALS AND METHODS: The nidus was separately delineated using DSA and MRA after co-registration onto CT simulation images and compared with respect to their volume and maximum diameters. During treatment, the setup errors observed in x-, y-, and z-directions were recorded. STATISTICAL ANALYSIS: Paired t-test (to compare volume and maximum diameter). Wilcoxon signed-rank test (for setup accuracy). RESULTS: The mean volume of nidus contoured in MRA was 4.16 cc compared to 3.11 cc in DSA (P 0.297). The mean maximum diameters using MRA and DSA, respectively, in antro-posterior, cranio- caudal, and transverse diameters were 21.97 cc vs. 19.46 cc (P 0.2380), 6.59 cc vs. 9.63 cc (P 0.161), and 18.87 cc vs. 16.81 cc (P 0.178). But these modalities can potentially misinterpret the nidus volume, warranting caution for use of either modality alone. The mean translational shift observed in the x-, y-, and z-directions were 0.06 mm, 0.13 mm, and 0.13 mm, respectively, when couch was brought to neutral position after clockwise couch rotation and 0.07, 0, and 0, respectively, after counterclockwise couch rotation. CONCLUSION: This study could not demonstrate any statistically significant differences in nidus delineation between MRA and DSA. Setup accuracy achieved with non-invasive thermoplastic mask-based immobilization is within acceptable limits for SRS.",2024 Apr 1,2024,Journal of cancer research and therapeutics,20,3,874-880,eng,False,10.4103/jcrt.jcrt_938_21;01363817-202420030-00022;10.4103/jcrt.jcrt_938_21,Comparative Study;Journal Article;Observational Study,"Humans;*Radiosurgery/methods;Female;Male;*Magnetic Resonance Angiography/methods;*Angiography, Digital Subtraction/methods;Adult;Middle Aged;Prospective Studies;*Intracranial Arteriovenous Malformations/surgery/diagnostic imaging/pathology;Radiotherapy Planning, Computer-Assisted/methods;Young Adult;Adolescent;Aged;Tomography, X-Ray Computed/methods",
17327788,Embolization before radiosurgery reduces the obliteration rate of arteriovenous malformations.,"OBJECTIVE: To evaluate the arteriovenous malformation (AVM) obliteration rate and the clinical outcome after radiosurgery in patients with and without previous embolization. METHODS: Of 244 patients who underwent linear accelerator radiosurgery for AVMs at the Sunnybrook Health Sciences Centre between 1989 and 2000, 61 patients had embolization before radiosurgery and complete follow-up for at least 3 years. For 47 of these 61 patients (Group A, embolization plus radiosurgery), we were able to find 47 matching patients without previous embolization (Group B, radiosurgery alone). This group of matching patients had the same AVM volume (after embolization in Group A), location, and marginal dose. The radiosurgery-based AVM score and the obliteration prediction index were calculated. RESULTS: The median follow-up period was 44 months. Nidus obliteration was achieved in 22 patients in Group A (47%) and 33 patients in Group B (70%, P = 0.036). Permanent deficit related to hemorrhage or radiation occurred in three patients (6%) in Group A and three patients (6%) in Group B. During the first 3 years after radiosurgery, two patients (4%) in Group A experienced hemorrhage; in Group B, five patients (11%) experienced hemorrhage (P = 0.2). In Group B, two patients (4%) died and two patients (4%) had their AVM surgically removed. Both deaths were related to hemorrhage during the latency period. The excellent outcome (obliteration plus no deficit) in Group A was 47% compared with 64% in Group B (P = 0.146). There was no difference in the obliteration prediction index and the radiosurgery-based AVM score between Groups A and B. The predicted rates of obliteration and excellent outcome were 55 and 62.5%, respectively, according to the obliteration prediction index and the radiosurgery-based AVM score. CONCLUSION: Embolization before radiosurgery significantly decreases the obliteration rate, even in AVMs with the same volume, location, and marginal dose. Although an excellent outcome rate was higher in the group without embolization, this was not statistically significant.",2007 Mar,2007,Neurosurgery,60,3,443-51; discussion 451-2,eng,True,00006123-200703000-00003;10.1227/01.NEU.0000255347.25959.D0,Clinical Trial;Journal Article,"Adult;Combined Modality Therapy/statistics & numerical data;Embolization, Therapeutic/*statistics & numerical data;Female;Humans;Intracranial Arteriovenous Malformations/*mortality/pathology/*therapy;Male;Ontario/epidemiology;Preoperative Care/methods/*statistics & numerical data;Prognosis;Radiosurgery/*statistics & numerical data;Survival Rate;Treatment Outcome",
37494960,Endovascular Treatment of Brain Arteriovenous Malformations in Pediatric Patients: A Single Center Experience and Review of the Literature.,"BACKGROUND: Brain arteriovenous malformations (bAVMs) are abnormal vascular connections with direct arteriovenous shunts, generally symptomatic in the adult life. However, a small number of bAVMs may manifest in pediatric patients, with higher bleeding risk and mortality rates when compared to adults. The purpose of this study is to review our experience with endovascular treatment of bAVMs in pediatric patients. METHODS: This is a retrospective analysis of all bAVMs in pediatric patients (0-18 years) who underwent diagnostic digital subtraction angiography (DSA) at our institution from January 2010 to June 2021. RESULTS: Twenty-six patients met the inclusion criteria, of which 12 underwent endovascular treatment. Treated patients had a mean age of 10.25 years and 58% were females. Complete angiographic exclusion was achieved in five (42%) patients with endovascular treatment. Five patients with residual bAVM after embolization needed adjuvant therapy with surgery (n = 3) or stereotactic radiosurgery (SRS; n = 2). Two patients are still undergoing embolization sessions. Procedure-related complications occurred in two patients (17%) and included small vessel perforation and an occipital ischemic stroke. Two patients showed bAVM recurrence on follow-up (17%) and subsequently underwent SRS (n = 1) or surgery (n = 1), both resulting in complete bAVM exclusion. All patients had a modified Rankin scale (mRS) score of 0 to 2 on follow-up. CONCLUSION: Our experience supports the effectiveness and safety of endovascular treatment of bAVM in selected pediatric patients. A multidisciplinary approach combining surgery and SRS is warranted to achieve higher complete bAVM obliteration rates. Long-term follow-up is important as these lesions may show recurrence over time, especially in the pediatric population.",2024 Jul,2024,"Journal of neurological surgery. Part A, Central European neurosurgery",85,4,361-370,eng,False,10.1055/s-0043-1770356;10.1055/s-0043-1770356,Journal Article;Review,"Adolescent;Child;Child, Preschool;Female;Humans;Infant;Male;Angiography, Digital Subtraction;*Embolization, Therapeutic/methods;*Endovascular Procedures/methods;*Intracranial Arteriovenous Malformations/diagnostic imaging/therapy;Radiosurgery;Retrospective Studies;Treatment Outcome;Infant, Newborn",
33541896,Are Dynamic Arterial Spin-Labeling MRA and Time-Resolved Contrast-Enhanced MRA Suited for Confirmation of Obliteration following Gamma Knife Radiosurgery of Brain Arteriovenous Malformations?,"BACKGROUND AND PURPOSE: Intra-arterial DSA has been traditionally used for confirmation of cure following gamma knife radiosurgery for AVMs. Our aim was to evaluate whether 4D arterial spin-labeling MRA and contrast-enhanced time-resolved MRA in combination can be an alternative to DSA for confirmation of AVM obliteration following gamma knife radiosurgery. MATERIALS AND METHODS: In this prospective study, 30 patients undergoing DSA for confirmation of obliteration following gamma knife radiosurgery for AVMs (criterion standard) also underwent MRA, including arterial spin-labeling MRA and contrast-enhanced time-resolved MRA. One dataset was technically unsatisfactory, and the case was excluded. The DSA and MRA datasets of 29 patients were independently and blindly evaluated by 2 observers regarding the presence/absence of residual AVMs. RESULTS: The mean time between gamma knife radiosurgery and follow-up DSA/MRA was 53 months (95% CI, 42-64 months; range, 22-168 months). MRA total scanning time was 9 minutes and 17 seconds. Residual AVMs were detected on DSA in 9 subjects (obliteration rate = 69%). All residual AVMs were detected on at least 1 MRA sequence. Arterial spin-labeling MRA and contrast-enhanced time-resolved MRA showed excellent specificity and positive predictive values individually (100%). However, their sensitivity and negative predictive values were suboptimal due to 1 false-negative with arterial spin-labeling MRA and 2 with contrast-enhanced time-resolved MRA (sensitivity = 88% and 77%, negative predictive values = 95% and 90%, respectively). Both sensitivity and negative predictive values increased to 100% if a composite assessment of both MRA sequences was performed. Diagnostic accuracy (receiver operating characteristic) and agreement (κ) are maximized using arterial spin-labeling MRA and contrast-enhanced time-resolved MRA in combination (area under receiver operating characteristic curve = 1, P < .001; κ = 1, P < .001, respectively). CONCLUSIONS: Combining arterial spin-labeling MRA with contrast-enhanced time-resolved MRA holds promise as an alternative to DSA for confirmation of obliteration following gamma knife radiosurgery for brain AVMs, having provided 100% sensitivity and specificity in the study. Their combined use also enables reliable characterization of residual lesions.",2021 Apr,2021,AJNR. American journal of neuroradiology,42,4,671-678,eng,False,10.3174/ajnr.A6990;ajnr.A6990;20-00292;10.3174/ajnr.A6990,"Journal Article;Research Support, Non-U.S. Gov't",Adolescent;Adult;Aged;Brain;Female;Humans;Intracranial Arteriovenous Malformations/diagnostic imaging/surgery;Male;Middle Aged;Prospective Studies;*Radiosurgery;Retrospective Studies;Spin Labels;Treatment Outcome;Young Adult,
16466239,"Decision analysis for small, asymptomatic intracranial arteriovenous malformations.","OBJECT: Asymptomatic intracranial arteriovenous malformations (AVMs) represent a clinically challenging problem because of the complex decision making that must be undertaken prior to beginning any type of treatment. In addition, the relative infrequency of these lesions means that there is relatively little experience reported in the literature. The authors use a decision-analysis technique to model the considerations that go into determining the treatment of these lesions in an effort to quantify the various risks and overall benefits conferred by the following three treatment strategies: observation/natural history, microsurgery, and stereotactic radiosurgery. METHODS: The authors conducted a thorough literature search to elucidate the risks and outcomes associated with each treatment option. These values were used to build and run a comprehensive Markov model to determine a base-case analysis. All of the input variables were also subjected to sensitivity analysis to identify the most influential input variables and the crossover points in which favored strategies changed. The base-case analysis suggested that microsurgery was the favored treatment option because this hypothetical cohort accumulated 21.53 quality-adjusted life years (QALYs) over the course of the model compared with the 16.97 QALYs and 16.40 QALYs for stereotctic radiosurgery and observation, respectively. Sensitivity analysis demonstrated that overall major neurological morbidity and mortality were the most influential input variables both perioperatively and during the radiosurgical ""latent"" period (that is, up to 2 years posttreatment). The maximum acceptable perioperative combined major neurological morbidity and mortality rate was 6.8%. The latent period combined major neurological morbidity and mortality would need to be 0.7% to make radiosurgery favorable in this analysis. CONCLUSIONS: Results of this decision analysis model suggest that microsurgery in the hands of experienced cerebrovascular surgeons, who can expect a less than 6.8% combined rate of major neurological morbidity and mortality, offers patients a greater overall quality of life over time.",2001 Nov 15,2001,Neurosurgical focus,11,5,e7,eng,False,110507;10.3171/foc.2001.11.5.8,Journal Article;Review,"Algorithms;*Case Management;*Decision Support Techniques;Decision Trees;Embolization, Therapeutic;Humans;Intracranial Arteriovenous Malformations/surgery/*therapy;Microsurgery;Quality-Adjusted Life Years;Radiosurgery;Risk Assessment;Sensitivity and Specificity;Treatment Outcome",
